address,type,x-text
0x455474,string,"video"
0x45547c,string,"%s\\map%d.klg"
0x4555b0,string,"%s\\intro.klg"
0x4555c0,string,"novideo"
0x4555c8,string,"Tony 2"
0x4555d0,string,"Tony & Friends - New Adventures"
0x4555fc,string,"\\maps"
0x455604,string,"Kellogg\\NewAdventures"
0x4555f0,string,"result.ff"
0x455138,string,"text\\convert.txt"
0x45514c,string,"Language"
0x455540,string,"graphics\\movies\\logos.mpg"
0x45555c,string,"graphics\\movies\\intro2.mpg"
0x455578,string,"graphics\\movies\\intro3.mpg"
0x455594,string,"graphics\\movies\\intro1.mpg"
0x455098,string,"rb"
0x45561c,string,"Software\\"
0x45544c,string,"Music"
0x455454,string,"SFX"
0x45543c,string,"sound\\kelloggs"
0x455428,string,"sound\\country.song"
0x45540c,string,"sound\\mellowcountry.song"
0x4553f8,string,"sound\\country3.song"
0x4553e4,string,"sound\\boss1.song"
0x4553d0,string,"sound\\jungle.song"
0x4553b8,string,"sound\\mellowjungle.song"
0x4553a4,string,"sound\\jungle3.song"
0x455390,string,"sound\\gotmilk.song"
0x455378,string,"sound\\mellowice.song"
0x455368,string,"sound\\ice3.song"
0x455354,string,"sound\\boss2.song"
0x455340,string,"sound\\mapmusic.song"
0x455328,string,"sound\\titelmusic.song"
0x455308,string,"sound\\country_game_over.song"
0x4552ec,string,"sound\\jungle_game_over.song"
0x4552d0,string,"sound\\ice_game_over.song"
0x4552ac,string,"sound\\country_level_complete.song"
0x455288,string,"sound\\jungle_level_complete.song"
0x455268,string,"sound\\ice_level_complete.song"
0x455250,string,"sound\\cuntrysurf.song"
0x455238,string,"sound\\junglesurf.song"
0x455224,string,"sound\\icesurf.song"
0x455218,string,"gimmespeed"
0x455210,string,"warpme"
0x455208,string,"warp99"
0x4551fc,string,"imsostrong"
0x4551ec,string,"mynameissarah"
0x4551dc,string,"mynameissandra"
0x4551cc,string,"mynameisraquel"
0x4551b8,string,"mynameisfranziska"
0x4551a8,string,"mynameisnese"
0x45519c,string,"mynameisina"
0x45518c,string,"mynameismelanie"
0x45517c,string,"mynameisnicole"
0x45516c,string,"mynameismaria"
0x455160,string,"opensesame"
0x455158,string,"credits"
0x455944,string,"text\\language%d.txt"
0x45593c,widechar,"%d"
0x455640,string,"%s.proj"
0x455638,string,"%s.pool"
0x455630,string,"%s.samp"
0x455628,string,"%s.sdir"
0x4550b0,string,"graphics\\ga\\%d.ani"
0x45509c,string,"graphics\\gb\\%d.bmp"
